device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid,Gn
30c6f71d7da4,2023-01-19,05:18,8.2,84.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:23,8.1,83.0,65.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:28,8.1,82.0,65.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:34,8.0,83.0,65.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:39,8.0,82.0,65.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:44,8.0,83.0,65.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:49,8.0,82.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:54,8.1,83.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:59,8.0,83.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:05,8.0,82.0,65.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:10,8.0,82.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:15,7.8,83.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:20,7.8,84.0,65.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:25,7.6,84.0,65.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:31,7.5,84.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:36,7.5,85.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:41,7.5,85.0,65.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:46,7.5,84.0,63.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:51,7.5,85.0,65.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,06:56,7.5,85.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:02,7.5,85.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:07,7.5,85.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:12,7.6,85.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:17,7.6,85.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:22,7.7,84.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:28,7.8,85.0,65.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:33,8.0,85.0,63.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:38,8.1,84.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:43,8.2,85.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:48,8.4,84.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:54,8.6,81.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,07:59,8.9,80.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:05,9.2,80.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:10,9.4,79.0,64.0,4095.938,92.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:15,9.5,77.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:20,9.6,77.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:25,9.7,76.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:31,9.8,73.0,66.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:36,10.1,74.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:41,10.3,72.0,63.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:46,10.6,73.0,64.0,4095.938,93.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:51,10.7,70.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,08:57,11.0,73.0,63.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:02,11.3,72.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
